,watermarking_algorithm,bpp,train_dataset,test_dataset,recognizer,modality,TAR_at_FAR_baseline_cosine,TAR_at_FAR_watermarked_cosine,TAR_at_FAR_watermarked_both_cosine
6,stegaformer,1,celeba_hq,SCface,arcface,online,99.231,99.231,99.231
7,stegaformer,1,celeba_hq,ONOT_set1,arcface,online,53.333,53.333,53.725
9,stegaformer,1,celeba_hq,LFW,arcface,online,94.405,94.405,94.405
18,stegaformer,1,celeba_hq,SCface,facenet,online,90.0,90.0,90.0
19,stegaformer,1,celeba_hq,ONOT_set1,facenet,online,50.196,50.196,50.196
21,stegaformer,1,celeba_hq,LFW,facenet,online,90.655,90.774,90.595
30,stegaformer,1,coco,SCface,arcface,online,99.231,99.231,99.231
31,stegaformer,1,coco,ONOT_set1,arcface,online,53.333,53.333,53.333
33,stegaformer,1,coco,LFW,arcface,online,94.405,94.405,94.405
42,stegaformer,1,coco,SCface,facenet,online,90.0,90.0,90.0
43,stegaformer,1,coco,ONOT_set1,facenet,online,50.196,49.804,50.588
45,stegaformer,1,coco,LFW,facenet,online,90.655,90.595,90.595
54,stegaformer,3,celeba_hq,SCface,arcface,online,99.231,99.231,99.231
55,stegaformer,3,celeba_hq,ONOT_set1,arcface,online,53.333,52.549,53.333
57,stegaformer,3,celeba_hq,LFW,arcface,online,94.405,94.405,94.405
66,stegaformer,3,celeba_hq,SCface,facenet,online,90.0,90.0,90.0
67,stegaformer,3,celeba_hq,ONOT_set1,facenet,online,50.196,49.412,49.804
69,stegaformer,3,celeba_hq,LFW,facenet,online,90.655,90.714,90.595
78,stegaformer,3,coco,SCface,arcface,online,99.231,99.231,99.231
79,stegaformer,3,coco,ONOT_set1,arcface,online,53.333,52.549,53.725
81,stegaformer,3,coco,LFW,arcface,online,94.405,94.405,94.405
90,stegaformer,3,coco,SCface,facenet,online,90.0,90.0,90.0
91,stegaformer,3,coco,ONOT_set1,facenet,online,50.196,49.804,49.804
93,stegaformer,3,coco,LFW,facenet,online,90.655,90.655,90.595
102,stegaformer,6,celeba_hq,SCface,arcface,online,99.231,99.231,99.231
103,stegaformer,6,celeba_hq,ONOT_set1,arcface,online,53.333,51.765,54.902
105,stegaformer,6,celeba_hq,LFW,arcface,online,94.405,94.405,94.405
114,stegaformer,6,celeba_hq,SCface,facenet,online,90.0,89.231,90.0
115,stegaformer,6,celeba_hq,ONOT_set1,facenet,online,50.196,49.02,49.804
117,stegaformer,6,celeba_hq,LFW,facenet,online,90.655,90.774,90.714
126,stegaformer,6,coco,SCface,arcface,online,99.231,99.231,99.231
127,stegaformer,6,coco,ONOT_set1,arcface,online,53.333,52.549,54.902
129,stegaformer,6,coco,LFW,arcface,online,94.405,94.405,94.405
138,stegaformer,6,coco,SCface,facenet,online,90.0,90.0,90.0
139,stegaformer,6,coco,ONOT_set1,facenet,online,50.196,50.588,50.588
141,stegaformer,6,coco,LFW,facenet,online,90.655,90.595,90.536
150,stegaformer,8,celeba_hq,SCface,arcface,online,99.231,99.231,99.231
151,stegaformer,8,celeba_hq,ONOT_set1,arcface,online,53.333,52.157,53.333
