dataset,train,FR,bpp,threshold,genuine_to_impostor_OW,genuine_to_impostor_WW,impostor_to_genuine_OW,impostor_to_genuine_WW,total_genuine,total_impostor,correctly_accepted_OO,correctly_rejected_OO
CFD,coco,arcface,1,0.657509,0,0,0,0,158,12403,158,12390
CFD,coco,arcface,3,0.657509,0,0,0,0,158,12403,158,12390
CFD,coco,arcface,6,0.657509,0,0,1,1,158,12403,158,12390
CFD,coco,arcface,8,0.657509,0,0,1,0,158,12403,158,12390
CFD,celeba_hq,arcface,1,0.657509,0,0,1,1,158,12403,158,12390
CFD,celeba_hq,arcface,3,0.657509,0,0,1,1,158,12403,158,12390
CFD,celeba_hq,arcface,6,0.657509,0,0,1,0,158,12403,158,12390
CFD,celeba_hq,arcface,8,0.657509,0,0,1,0,158,12403,158,12390
CFD,coco,facenet,1,0.311627,0,0,0,0,158,12403,157,12390
CFD,coco,facenet,3,0.311627,0,0,0,0,158,12403,157,12390
CFD,coco,facenet,6,0.311627,0,0,0,0,158,12403,157,12390
CFD,coco,facenet,8,0.311627,0,0,0,1,158,12403,157,12390
CFD,celeba_hq,facenet,1,0.311627,0,0,0,0,158,12403,157,12390
CFD,celeba_hq,facenet,3,0.311627,0,0,0,0,158,12403,157,12390
CFD,celeba_hq,facenet,6,0.311627,0,0,0,1,158,12403,157,12390
CFD,celeba_hq,facenet,8,0.311627,0,0,0,0,158,12403,157,12390
facelab_london,coco,arcface,1,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,coco,arcface,3,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,coco,arcface,6,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,coco,arcface,8,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,arcface,1,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,arcface,3,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,arcface,6,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,arcface,8,0.713692,0,0,0,0,102,5151,102,5145
facelab_london,coco,facenet,1,0.409891,0,0,0,0,102,5151,102,5145
facelab_london,coco,facenet,3,0.409891,0,0,0,0,102,5151,102,5145
facelab_london,coco,facenet,6,0.409891,0,0,0,0,102,5151,102,5145
facelab_london,coco,facenet,8,0.409891,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,facenet,1,0.409891,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,facenet,3,0.409891,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,facenet,6,0.409891,0,0,0,0,102,5151,102,5145
facelab_london,celeba_hq,facenet,8,0.409891,0,0,0,0,102,5151,102,5145
ONOT_set1,coco,arcface,1,0.370215,0,0,0,0,255,32385,136,32352
ONOT_set1,coco,arcface,3,0.370215,1,2,1,1,255,32385,136,32352
ONOT_set1,coco,arcface,6,0.370215,1,3,1,1,255,32385,136,32352
ONOT_set1,coco,arcface,8,0.370215,2,4,2,2,255,32385,136,32352
ONOT_set1,celeba_hq,arcface,1,0.370215,0,0,0,1,255,32385,136,32352
ONOT_set1,celeba_hq,arcface,3,0.370215,1,2,1,0,255,32385,136,32352
ONOT_set1,celeba_hq,arcface,6,0.370215,3,3,1,1,255,32385,136,32352
ONOT_set1,celeba_hq,arcface,8,0.370215,4,3,2,2,255,32385,136,32352
ONOT_set1,coco,facenet,1,0.201931,0,0,1,1,255,32385,128,32352
ONOT_set1,coco,facenet,3,0.201931,0,0,0,0,255,32385,128,32352
ONOT_set1,coco,facenet,6,0.201931,1,2,0,1,255,32385,128,32352
ONOT_set1,coco,facenet,8,0.201931,3,5,2,1,255,32385,128,32352
ONOT_set1,celeba_hq,facenet,1,0.201931,0,1,1,1,255,32385,128,32352
ONOT_set1,celeba_hq,facenet,3,0.201931,2,1,1,1,255,32385,128,32352
ONOT_set1,celeba_hq,facenet,6,0.201931,2,2,2,3,255,32385,128,32352
ONOT_set1,celeba_hq,facenet,8,0.201931,3,4,2,1,255,32385,128,32352
SCface,coco,arcface,1,0.71803,0,0,0,0,130,8385,129,8376
SCface,coco,arcface,3,0.71803,0,0,0,0,130,8385,129,8376
SCface,coco,arcface,6,0.71803,0,0,0,0,130,8385,129,8376
SCface,coco,arcface,8,0.71803,0,0,0,0,130,8385,129,8376
SCface,celeba_hq,arcface,1,0.71803,0,0,0,0,130,8385,129,8376
SCface,celeba_hq,arcface,3,0.71803,0,0,0,0,130,8385,129,8376
SCface,celeba_hq,arcface,6,0.71803,0,0,0,1,130,8385,129,8376
SCface,celeba_hq,arcface,8,0.71803,0,0,0,0,130,8385,129,8376
SCface,coco,facenet,1,0.456434,0,0,0,0,130,8385,117,8376
SCface,coco,facenet,3,0.456434,0,0,0,0,130,8385,117,8376
SCface,coco,facenet,6,0.456434,0,0,0,0,130,8385,117,8376
SCface,coco,facenet,8,0.456434,1,0,0,0,130,8385,117,8376
SCface,celeba_hq,facenet,1,0.456434,0,0,0,0,130,8385,117,8376
SCface,celeba_hq,facenet,3,0.456434,0,0,0,0,130,8385,117,8376
SCface,celeba_hq,facenet,6,0.456434,1,0,0,0,130,8385,117,8376
SCface,celeba_hq,facenet,8,0.456434,1,1,0,0,130,8385,117,8376
